year	data	locator
1990	25.226562	CRI
1991	25.92474	CRI
1992	25.83724	CRI
1993	25.86354	CRI
1994	25.982553	CRI
1995	25.707813	CRI
1996	25.008333	CRI
1997	25.678646	CRI
1998	25.732813	CRI
1999	24.63203	CRI
2000	25.013542	CRI
2001	25.670834	CRI
2002	25.860678	CRI
2003	25.798178	CRI
2004	25.690365	CRI
2005	25.292448	CRI
2006	25.542187	CRI
2007	25.289062	CRI
2008	25.122917	CRI
2009	25.739323	CRI
